Accession_Number,Type,Status,Case_Type,Reviewed,Has_Attachments,Gross_Images_Stored,Fixed_Specimens_Stored,Submitter,Organisation,City,Date_Sent,Report_Date,Animal_Identification,Animal_Colour,Animal_Supplementary_Details,Animal_Number_Submitted,Animal_Number_Risk,Animal_Number_Affected,Animal_Number_Dead,Animal_Location,Animal_Location_Type,Animal_Location_Details,Animal_Breed,Animal_Species,Animal_Species_Common_Name,Animal_Sex_Classification,Animal_Sex_Details,Animal_Age_Classification,Animal_Age_Details,History_Details,History_Previous_Accession,Pathologists,Findings_Gross,Findings_Post_Mortem_Date,Histopathology_Results,Histopathology_Notes,Microbiology_Results,Microbiology_Notes,Parasitology_Results,Parasitology_Notes,Clinical_Pathology_Results,Clinical_Pathology_Notes,Diagnosis,Diagnosis_Provisional,Diagnosis_Morphological,Diagnosis_Comments
44543,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,Dunedin 9058,03/03/2010,Invalid date,,,,1,0,0,1,,,Bird Rehab,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Juvenile,,The bird was found near Haast 05/02/2010 by locals and transferred by DoC to Placename Vets and then transferred to Bird Rehab and began to moult straight away. The bird was euthansed at Anotherplace Vets for a broken/dislocated leg.,,Pathologist 2,"The bird weighed 2.160kg, was in moderate to poor body condition, and in a good state of post-mortem preservation. The bird still had her juvenile feathers present over large areas of her body. 
There were two roughly oval (5 x 3mm) skin and soft tissue defects on the plantar aspect of the left hock. The joint capsule was ruptured exposing the hock joint which was filled with large amounts of dry, friable, tan material. The articular cartilage of both the distal tibiotarsus and proximal tarsal bone was pale tan and friable and there was loss and collapse of the subchondral bone. The synovium was diffusely red and swollen.  
No other abnormalities were found on gross post-mortem.",02/03/2010,,,,,,,,,Left hock joint: severe chronic septic arthritis and osteomyelitis,,,"There were two skin and soft tissue defects on the plantar (weight-bearing) aspect of the left hock which communicated directly with the hock joint. The articular cartilage and underlying bone is either markedly inflamed or dead. Thus it seems there has been a puncture wound to the left hock resulting in bacteria being introduced into joint resulting in a nasty infection of the joint (including deep into the underlying cartialge and bone). 
There were no other abnormalities found on gross post-mortem."
44638,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org2,Dunedin 9058,18/03/2010,Invalid date,none,,,1,0,0,1,,,,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,,,This fiordland crested penguin was being held at Bird Rehab for rehabilitation. It had recently finished a moult and was gaining weight. It died after quickly going down hill on 10/03/2010. The body was frozen and submitted to Maple College  for necropsy.,,Pathologist 2,Body weight 2.8kg. Body condition score 4/9. There were no obvious abnormalities palpable or visible on external examination. The liver was slightly pale. The spleen was enlarged and measured 43x26mm in size. There were ecchymotic haemorrhages visible on the outside of the spleen. On cut surface there were multifocal dark red coloured areas scattered throughout the splenic parenchyma which were 3-5mm in diameter. The brain was diffusely stained a pale red-purple colour. The connective tissue of the dorsal surface of the lung was prominent. There was a bursa of fabricius present.,18/03/2010,"All sections show variable degrees of autolysis and freeze-thaw artifact.
Liver: portal areas are mildly to moderately hypercellular, most ly due to mononuclear cell infiltration. Moderate numbers of Kupffer cells contain haemosiderin.
Cloaca: there are several cross sections of adult trematodes.
Proctodeum: diffusely the lamina propria is moderately to markedly expanded by large numbers of lymphocytes, with fewer plasma cells, macrophages, and the rare heterophil. Numerous crypts are variably dilated and filled mucus admixed with small amounts of necrotic debris and degenerated hetrophils. Within several crypts, enterocytes are moderately expanded by multiple (up to a dozen), 3-4micron in diameter, spherical eosinophilic bodies or numerous crescent-shaped, basophilic organisms 1-2 micrins in length. There is multifocal crypt loss and collapse.
Spleen: there are mltifocal areas in which the parenchyma is replaced by large deposits of fibrin, proteiABCeous fluid and abundant pyknotic debris. There are numerous other small suspicious areas, but freeze-thaw artifact makes it difficult to be absolutely certain. There are also several suspicious areas of vasculitis.
Lung: many atria, adjacent air-capillaries contain granular eosinophilic material (probably fibrin), heterophils, and macrophages. Similar material is present witihin numerous capillaries and small numbers of parabronchial lumina.
Brain: there is marked diffuse congestion.
Sections of thyroid gland, heart, oesophagus, proventriculus/gizzard, small and large intestine, pancreas, adrenal gland, ovary, and kidney show no obvious abnormalities.",,"44638 Spleen Scant growth of Pasteurella multocida 
44638 Spleen  No anaerobic organisms isolated",Liver and spleen were frozen for possible further future use.,,,,,"Severe acute fibrinonecrotic splenitis and pneumonia
Moderate, chronic cloactitis",,,"This bird has quite marked inflammation and necrosis within the spleen and lung, and although no organisms are seen histologically, the bacterium Pasteurella multocida was isolated (albeit in small numbers) from a culture of the spleen, and the pattern and type of inflammation are also consistent with an acute infection with this bacteria. 
Transmission is thought to be either by inhalation of a bacteria-ladened aerosol (from unaffected ""carrier"" birds) or by consumption of contaminated water or food. The disease can be either acute or chronic in poultry, but in wild birds the predominant clinical presentation is acute. 
The reddening of the brain noticed grossly is due to marked congestion of the blood vessels- not an uncommon finding in animals with septicaemia.
This bird also has inflammation within sections of the cloaca (which is unrelated to the inflammation in the spleen and lungs, and did not contribute to this bird's death) which appears to be due to a form of coccidia, or possibly an amoeba."
44715,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org2,Dunedin,01/04/2010,Invalid date,None,,,1,0,1,1,,,"Brighton, Otago",Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Adult,,"Found 30/03/2010 dead on the high tide line. Dog area - same area where erect -crested died a few weeks ago - predation? Starvation?
Found my Jeremy Public (member of public)",,Pathologist 2,"1.83 kg bodyweight, emaciated 1/9 body condition score.  The carcase was moderately decomposed.  There was a small 3-4 mm cut to the epidermis of the ventral right wing and a 3-4 mm patch of missing fur and skin beneath the ventral beak.  The hydration of the carcase was good.  The cervico-cephalic air sac was overinflated and the thoracic entrance of the air sac was blocked with fibrous adhesions, the air sac itself was mildly thickened.  The heart surface showed superficial scarring (?normal) on the left side on the long axis and on the right side near the base.  The lungs were hyperemic/ reddened and the right lung contained excess frothy exudate (oedema). The stomach contained a small amount of fibrous black (melenic) material.  There were no other abnomalities found.",01/04/2010,"All tissues show moderate autolysis. The adrenal gland contains several focal areas of interstitial haemorrhage and occasional foci of recent inflammatory necrosis in the cortex. The small intestine contains occasional trematodes in the lumen and possible leucocytozoon megaloschizonts in the mucosa. The lung shows generalised congestion. The liver shows mild haemosiderosis and perivascylar lymphocyte accumulation. The testis shows no active spermatogenesis. The thyroid contains only moderate amounts of colloid.The kidney, parathyroid, heart, gizzard, and brain show no significant changes.",A range of samples were taken for histopathology,PCR analysis of frozen tissue was positive for Leucocytozoon (Odysseus),A sample of liver and oral cavity has been frozen for further testing if required,,,Positive PCR analysis for Leucocytozoon tawaki. ,A sample of liver and oral cavity has been frozen for further testing if required,"1. Starvation
2. Terminal drowning - unconfirmed
3. Cervico-cephalic air sacculitis - mild
4. Leucocytozoonosis
5. Intestinal trematodes
6. Adrenal adentitis and haemorrhage - terminal","1. Starvation
2. Terminal drowning - unconfirmed
3. Cervico-cephalic air sacculitis - mild",,"The adrenal changes are likely to be terminal, stress related events and the other findings are incidental. It is not possible to confirm that drowning was the cause of death."
45517,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Dunedin,01/11/2010,Invalid date,,,,1,0,1,1,,,,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Adult,,,,Pathologist 2,"The bird was in light body condition (1.76kg) and in an excellent state of preservation. Upon removal of the skin around both hocks, there was mild to moderate reddening and oedema of the soft tissues, including the joint capsules and tendon bursae. On the left hock, there was a full thickness, diagonal linear tear in the lateral aspect of the joint capsule as well as a full thickness rupture of the lateral collateral ligament near its insertion onto the calcaneus. On the right hock, there was a full thickness, diagonal linear tear in the medial aspect of the joint capsule as well as a full thickness rupture of the medial collateral ligament near its insertion onto the talus.
The heart weighed 23 grams.
The liver weighed 53 grams.
No other abnormalities were noted on gross post-mortem.",07/10/2010,"Kidney: there is a 2mm in diameter adult fluke within a distended briABCh of the ureter. Several other uretal branches contain moderate numbers of lymphocytes and plasma cells within the submucosa. 
Liver: there are large numbes of Kupffer cells that contain haemosiderin. Portal tracts contain small numbers of lymphocytes, many of which are apopototic.
Skeletal muscle (leg): there is multifocal scattered myocyte regeneration as well as small numbers of fibers undergoing necrosis. The interstitium contains moderate numbers of individual macrophages, many of which contain haemosiderin. 
Sections of heart, lung, thyroid gland, proventriculus/gizzard, spleen, intestine, adrenal gland, ovary and brain show no obvious abnormalities.",,,,,,,,Bilateral dislocation (subluxation) of the hock.,,,"The dislocations are almost certainly traumatic in origin, and probably of no longer than a weeks duration.
Apart from a single fluke within the kidney, there were no other remarkable changes noted in the other internal organs or the brain."
45700,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Owaka,06/12/2010,Invalid date,None,,,1,0,1,1,,,Purakaunui Bay,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Adult,,Found dead at Purakaunui Bay.,,Pathologist 2,"The bird weighed 1.74kg and was in very poor body condition, with vastly reduced skeletal muscles and minimal body fat reserves. The entire gastrointestinal tract was largely devoid of any ingesta/digesta, and the gall bladder was markedly distended with watery bile.
There was a 30mm in diameter, roughly cicular defect in the skin over the base of the tail-synsacral junction. The edges of the skin were markedly thickened, raised and crusty. There was extensive under-running (~6 x 3 x 4cm) of the underlying soft tissues and replacement with a large amount of dull yellow, friable material. The bones of the synsarcum were intact. 
No other abnormalities were noted on grss post mortem.",25/11/2010,,,,,Faeces were negative for helminth and coccidial eggs,,,"Liver, lung and kidney frozen",Starvation/emaciation seconary to a large abscess over the tail base,,,"There was a large abscess which had replaced extensive areas of the subcutaneous and muscular tissue near the tail-base and synsacral junction. There was an open skin defect which communicated with the underlying abscess. The abscess is likely the result of a penetrating wound and subsequent infection of the wound. A bite wound could be considered.
The abscess was large enough to have caused enough pain and physical interference with movement of the hindlegs to have prevented adequate locomotion and food gathering."
45734,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Takaka,10/12/2010,Invalid date,None,,,1,0,1,1,,,Farewell Spit,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Adult,,Found dead on beach with a wound to the lower abdomen. The animal was frozen and sent to Maple College .,,Pathologist 2,"The bird weighed1.63kg and was in poor body condition, with vastly reduced pectoral skeletal muscle mass and no subcutaneous, epicardial or intra-coelomic fat reserves. The proventriculus/ventriculus contained a small amount of viscous dark red marterial and no feed material. Similar dark red material was observed in many segments of both the small and large intestine. 
There was a 45mm, horizontal linear wound to the skin of the left vnetral lateral abdomen extending partway over the cranial aspect of the left proximal thigh. The feathers were missing over this areas and the skin exposed. The exposed skin was intact (outer and innner surfaces) although slightly thickened and covered in several small adherent crusts. There were no adhesions to the underlying soft tissues/muscuGVTSre.
No other abnormalities were noted on gross post mortem.",07/12/2010,,,,,,,,,"1.Starvation
2. Trauma to abdomen",,,"The wound to the ventral abdomen of this bird appeared to be well-healed; the skin was intact but the feathers were still absent. The linear nature of the wound could make a propeller strike rather than a shark bite a more likely possibility. The wound itself has not directly caused the death of this animal (ie. there is no sign of infection), however the lack of feathering may have decreased the bird's water-proofing ability and hence his ability to forage for food."
46051,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Oamaru,04/05/2011,Invalid date,None,,,1,0,0,1,,,"Blimey Peninsula, Otago",Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Adult,,"Found starving in moult. Taken into Bird Rehab for treatment, but died after several days. Body was frozen.",,Pathologist 2,The bird weighed 2.593kg and was in moderate body condition and in an incomplete moult. The proventriculus was full. No abnormalities were noted on gross post-mortem.,15/03/2011,"Thyroid: most follicles lack colloid and are lined by tall columnar epithelial cells. Many follicles contain one or several spherical basophilic deposits.
Liver: many portal tracts contain small aggregates of mononuclear cells and fewer heterophils; they are not associated with necrosis or damage to adjacent hepatocytes or biliary epithelial cells.
Spleen: there is multifocal to coalescing subcapsular haemorrhage. Lymphocytes adjacent to these areas often have pyknotic nuclei and there is also deposition of amorphous to fibrillar eosinophilic material around sheathed arterioles (query protein and/or fibrin). 
Kidney: there are several small interstitial aggregates of lymphocytes, many with pyknotic nuclei. Several tubules contain mineral.
Lung: there is moderate diffuse congestion. Small numbers of parabronchi and adjacent atria contain small amounts of proteiABCous fluid.
Within sections of intestine, the mucosa is too autolysed to critically interpret.
Sections of heart, pancreas and brain show no obvious abnormalities.",,,,,,,,Cause of death unknown,,,"There is no readily apparent cause of death in this bird. She appears to have put on body condition since being in the Rehab. Facility and did not show any of the typical histological signs of prolonged starvation/emaciation. 
There was some haemorrhage within the spleen but this is not associated with inflammation or any obvious infectious agents and there was no evidence of an inflammatory process within the other organs examined (excluding the intestine, which was too autolysed). 
Lymphocytes within the liver and spleen are degenerating, which can be seen with stress (secondary to release of glucocorticoids from the adrenal gland), so this may have played a part in the bird's demise."
46127,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Oamaru,31/03/2011,Invalid date,Crest Foot,,,1,0,0,0,,,,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Subadult,,"The Penguin was found in the Geraldine area, unable to use legs normally and very underweight. Presenting weight on the 16th March was 1.7kg. There were neurological defects in the feet and delayed propreception responses. When first presented to the clinic the middle right digit had osteomyelitis and ulceration on the surface of the right foot. The penguin was sent to WABB rehabilitation centre with 7 days of metacam and 30 days of Baytril. With check up's planned in a week. The penguin died on the 29th of March.",,Pathologist 2,"The penguin weighed 2.3 kg. The pectoral mass was poor with no intra-coelomic fat stores and a low body condition score of 3/9. 
The dorsal surface of the left foot had 4 sites of deep ulceration, over the lateral 2 digits. The ulceration on the middle toe was severe, with the necrotic tip of the fractured first phalange protruding out of the wound. The skin was infected with haemorrhages on the edges. The dermatitis extended over 60% of the dorsal surface of the left tarsus. 
The right foot had a 3cm graze extending along the lateral surface of the lateral digit.  
Internally the caudal right coelomic cavity had a 9cm long round area of white, gritty, adhesions connecting the abdominal wall to the adjacent internal organs. Fibrous adhesions were present over the liver capsule, proventriculus and the full gall bladder. 
The gastronintestinal tract was empty with a small amount of green mucus and approximately 20, 1 cm long rice shaped green- seeds or pellets. 
The kidney was diffusely mottled in a chestnut pattern. The lungs were coloured mottled tones of dark red with some fibrous adhesions over the right lung. All the lung tissue floated in formalin. 
All other internal organs and the brain appeared within normal limits.",31/03/2011,"
Lung: there is marked congestion and most parabronchi, atria and air-capillaries are filled with whispy eosinophilic material. There are mildy increased numbers of circulating heterophils and small numbers of macrophages within air-capillaries. Small numbers of lymphocytes and plasma cells are scattered within the bronchial submucosa.
Liver: there are small to moderate numbers of lymphocytes (and the rare plasma cell) within most portal tracts, many of which have pyknotic nuclei (lympholysis). Many Kupffer cells contain haemosiderin.
Spleen: there is a moderate amount of pyknotic debris scattered throughout the parenchyma as well as moderate numbers of tingible-body macrophages and haemosiderin-laden macrophages.
Kidney: there is marked congestion and several perivascular infiltrates of lymphocytes, many of which have pyknotic nulcei.
Proventriculus: there is mild expansion of the serosa with well-organised fibrous tissue. 
Sections of heart, oesophagus, gizzard, small and large intestine, pancreas, adrenal gland, immature testis, brain show no obvious abnormalities.",All internal organs submitted for histology,"Lung, liver, kidney pool-Light growth of Acinetobacter species and light growth of Staphylococcus species (Coagulase
Negative) 
No anaerobic organisms isolated",Pooled culture of kidney and lung submitted for aerobic and anaerobic culture.,,NA,,"Liver , lung and Kidney frozen in case further tests are requested.","Severe ulceration with osteomyelitis and fractured phalanx on the right tarsus
Emaciation
Pulmonary oedema",,,"Histological examination of multiple internal organs as well as cultures of several organs indicates this bird was not septic. Indeed, apart from degeneration of lymphocytes (an indication of stress) and pulmonary oedema, there were few internal abnormalities. It is possible, a combination of the ongoing osteomyelitis, stress and pulmonary oedema was enought to kill the bird."
46134,Post Mortem,Preliminary,,No,No,No,No,Anon2,Anon Org,Dunedin,04/04/2011,Invalid date,,,,0,0,0,0,,,Waikouaiti Beach Otago,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Subadult,,Found dead on Waikouaiti Beach by a member of the public (Dog beach),,Pathologist 2,Weight = 1.951 Kg. Body condotion score = 3/9. There was moderately poor pectoral muscle mass and no body fat reserves. On opening the thoracic cavity a large ovoid mass measuring 45 x 40 x 35 mm was found in the left upper thoracic air sac displacing the heart to the right. It was firm and pale in colour and on incision was found to contain a solid dull yellow material with chalky white radial striations particularly at the periphery as well as some concentric circular pale laminated  lines throughout the mass. It was enclosed in a thin (2mm) fibrous capsule which could be peeled from the solid contents. The right kidney was pale with some central red blotches and the left kidney was reddened. The intestine contained dark semi-solid contents. No other gross abnormalities were observed.,,,,,,,,,,,"1. Starvation
2. Large air sac granuloma",,It is possible that this is long standing case of respiratory aspergillosis and we will know more after histopathology.
46831,Post Mortem,Pending,,No,No,No,No,Anon2,Anon Org,Dunedin,12/10/2011,Invalid date,,,,0,0,0,0,,,Hopopers Inlet,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Adult,,Found dead in Hoopers inlet by member of public.  Kept cool and handed to DoC on Monday. A Fcpenguin was observed incubating an egg at Double/waterfall Bay on Otago Peninsula. This bird may be associated witth The Den. Bird very smelly sprayed with fly spray.,,Pathologist 2,Weight = 1.86 kg. Body Condition Score = 1/9. The carcass was decomposing with numerous maggots present in the tissues. No fat reserves were found and the gut was empty. There was severe atrophy of skeletal muscles and many of the remaining internal organs were also atrophied.. No other gross abnormalities were observed.,,,,,,,,,,Starvation/emaciation,,,Although the carcass was decomposing there was no evidence of trauma or infectious disease observed.
47254,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Hokitika,09/03/2012,Invalid date,None,,,1,0,0,1,,,"Knight's Point Beach, South Westland",Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Subadult,,"Animal found washed up on beach, with blood coming from the mouth.",,Pathologist 2,"The bird weighed 2.11kg and was in moderate to poor body condition; there were still visible subcutaneous and epicardial fat reserves but the pectoral muscle mass was quite severely reduced.
There fresh clotted blood within the oral cavity. The parietal portions of both liver lobes contained multiple (at least six)irregualrly linear to ragged elliptical lacerations that breached the hepatic capsule and extended upward of 5mm into the parenchyma. The lacerations were covered in multiple large blood clots, several of which had made there way onto the parietal surfaces of both lungs. 
There were multiple fractures to the mid-distal part of the keel bone, with several displaced fragments only being held by the periosteum.
The proventriculus and gizzard were empty and the mucosa diffusely bile stained. Both the small and large intestine were largely devoid of digesta.
The ovary measured 30mm in length and the oviduct was straight. 
No other abnormalities were noted on gross post mortem.",09/03/2012,,,,liver was forzen for potential leucocytozoon PCR.,,,,,Blunt force trauma to the keel resulting in fracture of the keel and multiple lacerations to the liver and severe internal blood loss,,,"This bird has suffered enouogh trauma to the keel to have result in fracture of the keel bone. Several of the bony fragments have then punctured the liver in multiple sites resulting in multiple liver lacerations. Death will have been due to internal bleeding.
The bird was not in great body condition prior to the fatal injury, and the reduced pectoral muscle mass may have contributed to most of the impact being absorbed by and through the keel bone rather than the pectoral muscle. I don't think there is any reason to suspect foul play."
49211a,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Dunedin,25/02/2013,Invalid date,None,,,1,0,0,1,,,Bird Rehab Facility,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Subadult,,Brought to Bird Rehab rehab. Facility.,,Pathologist 3,"The bird weighed 2.35kg and was in very poor body condition, with vastly reduced pectoral muscle mass and minimal body fat reserves.
There were extensive, mostly fibrinous but also early fibrous adhesions of the proventriculus and multiple intestine loops to the ventral abdominal wall. A moderate amount of turbid tan and foetid fluid was present in the coelomic cavity. The proventriculus was full of feed material.
The subcutaneous tissues of the ventral abdominal area were somewhat macerated, mottled reddened and oedematous and had a slight foetid smell.
No other abnormalities were noted on gross post mortem.",12/02/2013,,,,,,,,,"Chronic cellulitis and coelomitis, likely secondary to previous bite wounds",,,
49282,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Dunedin,01/03/2013,Invalid date,,,,1,0,0,1,,,,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Adult,,"This penguin was originally presented to Feather Foundation after being found on a Wellington coast beach in poor condition. The bird had an old penetrating injury to the left eye, causing an opaque lens. The lens was surgically removed and the penguin was in rehabilitation at ""Bird Rehab"" in Otago awaiting contracture of the corneal scar. The penguin had been doing well and had just finished moulting when it died suddenly on 28.2.13. No apparent clinical signs were noted prior to death.",,Pathologist 3,"The bird weighed 4.175kg and was in good body condition with good subcutaneous and intra-coelomic fat reserves. A cosmetic post-mortem was undertaken. 
The subcutaneous tissue was markedly expanded with clear gelatinous material along the right side of the body extending from the thorax to the abdomen. There was no associated bruising or haemorrhage in the subcutaneous layers. 
There was increased fluid in the pericardial sac and there were multifocal streaky dark red foci on the surface of the heart. 
The lungs were surrounded by viscous, gelatinous, clear material but the lungs themselves appeared normal, although they sank in formalin. There was also a small amount of fluid present in abdominal air sacs. 
The proventriculus and ventriculus contained a small amount of green mucoid material and many penguin feathers. 
The other abdominal organs appeared normal on gross examination.",01/03/2013,"Heart: there are multiple foci of epicardial and endocardial haemorrhage, extending into the subjacent myocardium; tjhis is most prominent in the left ventricle.
Lung: the intersitium is markedly hypercellular due to infiltration with mononuclear cells (predominantly mononcytes/macrophages) and fewer heterophils. The interstitium frequently contains deposits of proteiABCeous fluid and fibrin admixed with small amounts of pyknotic debris; adjacent air-capillaries contain small amounts of fluid and macrophages. Multiple parabronchi contain proteiABCeous fluid adixed with heterophils and macrophages. There is a focal area in which the interstitium also contain granular basophilic material. Small numbers of small to medium caliber blood vessels are cuffed by mononuclear cells.
Liver: large numbers of Kupffer cells contain haemosiderin. Portal tracts contain increased numbers of lymphocytes, many of which appear apoptotic.
Spleen: scattered throughout the parenchyma are macrophages that contain golden-brown intracytoplasmic granular to more clumpy pigment.
Kidney: there is marked congestion and several small foci of subcapular haemorrhage. There are scattered aggregates of lymphocytes and plasma cells, often around medium to larger caliber blood vessels.
Adrenal gland: subjectively there is a moderate increase in the amount of cortical tissue compared to chromaffin tissue.
Sections of iABCtive testis show no obvious abnormalities.
Proventriculus: there are small to moderate numbers of medium rod-shaped bacteria scattered throughout the mucus layer.
Sections of intestine show no obvious abnormalities.",Pending.,"Lung:
(1) Light growth of Escherichia coli
(2) Moderate growth of Hafnia alvei
(3) Light growth of Corynebacterium species
(4) Scant growth of Enterococcus species
CASE NO : P13005",A liver sample was also collected and frozen for possible culture.,,,,,"Fibrinous interstitial pneumonia, subacute to chronic
Hydropericardium with acute myocardial haemorrhage",,,"Gelatinous fluid was present in the subcutaneous tissues, the pericardial sac and pleura. There was a severe interstitial pneumonia (likely with a superimposed ""bronchopneumonia"") with mixed inflammation and numerous deposits of proteiABCeous material and fibrin. Evidence of previous and ongoing erythrocyte breakdown in the liver and spleen was also present. Thus it appears as though there has been damage to parts of the vascular tree with fluid leakage and areas of haemorrhage; infection with a haemoparasite such as Plasmodium would have to be a possibility. Although Plasmodial organisms were not readily appreciated sometimes these can be few and far between and quite difficult to observe histologically."
49429,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Oamaru,18/04/2013,Invalid date,None,,,1,0,0,1,,,"Blimoy Peninsula, Rehab. Centre",Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Subadult,,Penguin presented with infected foot. Vet removed foot. Euthanased because bird could not be returned to the wild.,,Pathologist 3,"The bird weighed 2.86kg and was in good body condition.
No internal abnormalities were noted.
The right foot was absent, to the level just distal of the right hock joint. The amputted stump appeared relatively well-healed with some areas of hyerkeratosis and crusting with several small areas of early fissure formation.",10/04/2013,,,,,,,,,Euthanasia following amputation of the right foot.,,,
50591,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Dunedin,03/06/2015,Invalid date,None,,,1,0,1,1,,,Otago Peninsula,Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Subadult,,Found dead 05/03/2014.,,Pathologist 3,"The bird weighed 1.745kg and was in poor body condition, with reduced pectoral muscle mass and minimal body fat reserves.
There were multiple roughly linear to triangular lacerations to the right flipper. Three were located on the proximal part of the right flipper; they were full-thickness, roughly 30mm in length and 5-10mm wide at the base (caudal edge). Two were located on the distal and medial aspect of the right flipper, being ~25-30mm in length and ~5mm wide. All lacerations had dry, yellow, slightly raised margins. The bones and joints of the right flipper felt within normal limits on palpation.
The proventriculus contained only melaena and a few pebbles while segments of the small intestine also contained melaena.
No other abnormalities were noted on gross post mortem.",06/03/2014,,,,,,,,,"Starvation and emaciation
Multiple, old lacerations to the right flipper",,,"This bird was in poor body condition and had multiple lacerations to the right flipper. The injuries looked to be somewhat old, possibly a week or longer, so it likely they contributed in large part to the bird's emaciated condition due to a reduction in foraging efficiency."
50970,Post Mortem,Preliminary,,No,No,No,No,Anon2,Anon Org,Dunedin,11/06/2014,Invalid date,"no transponder, no flipper band",,,1,0,0,1,,,"Bird Rehab, Otago",Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Subadult,,"Sent up frozen from Bird Rehab. Captured 7th Feb, underweight and moulting. Vomiting, started on 25mg/day Baytril for 7 days and given dextrose solution only for two days then started on small feeds three times daily. Unknown date of death. Stored frozen.",,Pathologist 3,"This bird weighed 1.36kg, she was judged to be in good state of preservation and in poor body condition as there were no body fat reserves and the pectoral muscles were markedly atrophic. Over half the feathers were in the older, pre-moult stage. The vent feathers were covered in a moderate amount of khaki faeces. 
The proventriculus contained small amounts of watery, bile stained material. 
No other abnormalities were noted on gross post mortem.",10/06/2014,Limited histology pending,"Samples from lung, heart, liver, spleen, kidney were fixed in formalin.",,Liver frozen,,,,,,Moult associated emaciation,,"The moulting prevented the penguin from swimming and thus from eating, which led to a severe state of malnutrition and emaciation that may have accounted for her death. No underlying diseases were noted in this bird, but samples were taken for histology."
51662,Post Mortem,Final,,No,No,No,No,Anon2,Anon Org,Dunedin,09/02/2015,Invalid date,No band or microchip,,,1,0,0,1,,,"Smaill's Beach, Otago",Fiordland Crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Subadult,,"Moulting. Found on Smaill's Beach, Dunedin, recently dead.",,Pathologist 3,"The bird weighed 3.27kg and was in good body condition, with good body fat reserves and pectoral muscle mass. The bird was in early moult, with replacement feathers in an advanced state of development but largely beneath the surface of the skin. 
The proventriculus and gizzard contained only bile stained sand.
The liungs were diffusley deep red and oozed a large amount of blood-tinged frothy fluid.
There was marked congestion of the leptomeninges and diffuse reddening of the brain parenchyma.
No other abnormalities were noted on gross post mortem.",04/02/2015,"Lung: there is marked diffuse congestion.
Liver: numerous Kupffer cells contain haemosiderin, with small numbers containing erythrocytes. 
Spleen: there is moderate congestion.
Brain: there is marked congestion of the neuropil and leptomeninges.
Sections of kidney, proventriculus, gizzard and intestine show no obvious abnormalities.",,,Liver and lung frozen,,,,,Uncertain cause of death,,,"This bird was in good body condition, with ample subcutaneous body fat reserves; she was also in early moult. There were no signs of trauma and histological examination of the internal organs did not show any indication of an infectious disease process; the cause of death remains uncertain but I wonder if heat stress could have played a part in the death of this bird."
